property_id,title,url,address,address_2,property_status,primary price,agent,agent_address,agent_phone,agent_url,date_added,property_type,beds,baths,key_features,description,property_size,epc_rating,key_info
result-6186252,3 bedroom flat to rent,https://www.onthemarket.com/details/6186252/,Garden House W2,Garden House W2,3 bedroom flat to rent,"£5,980 pcm (£1,380 pw)",Residential Land - Mayfair,"
                         59-60 Grosvenor Street
Mayfair, London
W1K 3HZ
                        
                      ", 020 8033 2785,https://www.residentialland.com/,Virtual tour,Flat,3 bed,3 bath,"['Newly refurbished', '24 hour porter', 'Outside space', 'Lift', 'Crestron Home automation system', '<strong>Direct access to beautiful gardens</strong>', 'Security cameras & door entry system', 'Dedicated Building Manager | Pet Friendly', 'Automated Crestron Home System | Superfast Broadband', '24 hour maintenance service']","This superbly refurbished three bedroom, 2 bathroom patio + WC apartment (928 sq ft) within this stunning Grade II listed building with access to beautiful communal gardens.

The apartment has been interior designed  and finished to the highest of standards with high end modern finishes whilst retaining its original Grade II listed features from the original building. The apartment comprises splendid bedrooms with built in custom wardrobes one with en-suite bathroom, a luxurious reception room with bespoke furniture leading onto its  own the privat patio, an exquisite polished marble bathroom and a fully fitted bespoke Miele kitchen. The apartment has access to the stunning communal gardens which is one of London’s few remaining traditional Garden squares.  

The building hosts 24 hour security, lift service, unique private access to Kensington Garden Square gardens and an emergency out of hour’s maintenance service. 

Garden House is located in a quiet residential part of W2 and close to the amenities of Westbourne Grove, Notting Hill and the beautiful Hyde Park including Whitley shopping mall. It is also perfectly located for easy access to transport links with Bayswater and Queensway tube station just 5 minutes walk away.

Residential Land’s on-site building manager is there to act as the managing agent of this property. All of our tenants benefit from a dedicated building manager who is on hand to assist with any property related issues. We also employ a dedicated team of maintenance experts and provide a 24-hour emergency helpline.

Financial Summary:

•	Holding Deposit= £1,380 (1 week’s rent- this is taken off the total security deposit)
•	Security Deposit= £4,600(1 calendar month’s rent, less holding deposit) 
•	1 calendar months rent= £5,980

Total amount payable= £11,960

Council Tax band- D
EPC rating- DQuality and comfort are the hallmarks of these prestigious apartments. The living space features beautiful traditional architraves and fittings blending seamlessly with modern comforts such as American walnut timber flooring, remotely operated handmade roller blinds, a 47"" smart TV, integrated speakers, and controlled mood lighting throughout.

Garden	House is located in a quiet residential part of W2 and close to the amenities of Westbourne Grove, Notting Hill, and the beautiful Hyde Park. It is also perfectly located for easy access to transport links with Bayswater and Queensway tube stations just 5 minute's walk away. Each of the apartments has recently been newly modernized with wood flooring, neutral carpeting throughout, new furniture, entry phone systems, and modern bathrooms. Garden House has the benefits of an on-site maintenance team, a fully equipped laundry room, and direct access to peaceful communal gardens.

Residential land offers a dedicated single point of contact throughout your stay for all dealings; including tenancy agreement, In-house maintenance, property management, and general assistance.




*Remote live video viewings by appointment and virtual tours available*",928 sq ft / 86 sq m,EPC rating: D*,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 900Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683779,3 bedroom duplex to rent,https://www.onthemarket.com/details/13683779/,"All Saints Road, London","All Saints Road, London",3 bedroom duplex to rent,"£6,045 pcm (£1,395 pw)",Onslows - Chelsea,"
                         51 Chelsea Manor Street
Chelsea, London
SW3 5RZ
                        
                      ", 020 8115 0819,http://www.onslows.com/,Virtual tour,Duplex,3 bed,2 bath,,"Recently refurbished this smart three bedroomed flat is well arranged on the second floor and third floor flat of this residential building.The property comprises reception room with ample space for dining, open plan kitchen leading on to a huge terrace. Master bedroom with a bath in the middle of the room, WC, second double bedroom with ample storage. Also has the added benefit of a third bedroom and a modern shower room.Ladbroke Grove itself offers a range of shops and amenities and benefits from its proximity to the popular bars and restaurants of Portobello Road, Westbourne Grove and Holland Park.Travel links include Ladbroke Grove (Hammersmith & City Line) and Holland Park (Central Line) underground stations.Talk to us today about Fronted and Guarantid. Following the Tenant Fee Act 2019 which came into force on 1st June 2019, Tenants can no longer be charged Administration and Reference Fees in the course of securing a property. Please contact the office for more information or to discuss permitted charges that may arise during your Tenancy.- Spacious- Renovated- Excellent transport links- Period features- Modern - Wooden floors- Pet Friendly","1,044 sq ft / 97 sq m",EPC rating: D*,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 330Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-5900352,3 bedroom mews to rent,https://www.onthemarket.com/details/5900352/,"Hesper Mews, Earls Court, London, SW5","Hesper Mews, Earls Court, London, SW5",3 bedroom mews to rent,"£6,067 pcm (£1,400 pw)",Lurot Brand - South Kensington,"
                         4-5 Kynance Place
South Kensington
SW7 4QS
                        
                      ", 020 8022 6880,http://www.lurotbrand.co.uk,Added yesterday,Mews,3 bed,3 bath,"['Mews House', '3 Bedrooms', '4 bathrooms (2 En-Suite)', 'Large Eat-in Kitchen', 'Reception Room', 'Garage', 'Decked Roof Terrace']","This is quite possibly the ideal family home with plenty of reception space, good storage, new bath and shower rooms and eat-in kitchen/diner complete with secure parking and outside space! The double-aspect is an added bonus as it makes the property bright and airy too. All in all an excellent property in a pretty and desirable cobbled mews!Hesper Mews is ideally situated for the extensive amenities of nearby Gloucester Road and Earls Court. Easy access to the West Country and Heathrow by road too.","1,593 sq ft / 148 sq m",EPC rating: D*,"['Council tax:\xa0', 'Band H', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-1373871,2 bedroom flat to rent,https://www.onthemarket.com/details/1373871/,"Stephenson House, Abbey Wood","Stephenson House, Abbey Wood",2 bedroom flat to rent,"£1,350 pcm (£312 pw)",Hi Residential - Plumstead,"
                         24 Plumstead Common Road
Plumstead
SE18 3TN
                        
                      ", 020 8022 7096,http://www.hi-residential.com,Added today,Flat,2 bed,1 bath,"['Large top floor Flat', 'Two Double Bedrooms', 'Balcony', 'Gas Central Heating', 'Double Glazed', 'Close to Abbey Wood Station for main line trains and Elizabeth Line']","Spacious 2 bedroom top floor purpose built flat, situated very close to woodland and only a short distance to Abbey Wood station and local shopping facilities. The property comprises entrance hall, lounge with access to balcony, fitted kitchen, 2 bedrooms and bathroom. Other benefits from gas central heating and double glazing. Part Furnished. Council Tax Band: B",699 sq ft / 65 sq m,EPC rating: D*,"['Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680417,1 bedroom flat to rent,https://www.onthemarket.com/details/13680417/,"Bloomfield Road, Plumstead, London SE18","Bloomfield Road, Plumstead, London SE18",1 bedroom flat to rent,"£1,400 pcm (£323 pw)",Hi Residential - Plumstead,"
                         24 Plumstead Common Road
Plumstead
SE18 3TN
                        
                      ", 020 8022 7096,http://www.hi-residential.com,Added today,Flat,1 bed,1 bath,"['Gated Community', 'Great location for Woolwich Town Centre - Transport links (Elizabeth Line, DLR and Main line trains) and shopping', 'Allocated Parking Space', 'Converted Victorian Built School', 'Furnished', 'Double Glazed Windows and Gas Central Heating', 'Split Level Apartment']","One double bedroom split level furnished apartment which forms part of a converted Victorian built school, which is beautifully presented and set over two floors within this gated community. This property really must be viewed to be fully appreciated. Accommodation comprises entrance hall, lounge which is open plan to kitchen, bathroom (with shower over bath) and on the upper mezzanine level a good size double bedroom. The property also benefits from being only a short walk to Woolwich Town Centre offering Elizabeth line, DLR, and main line trains into central London and shopping. Allocated parking space.Open Plan Lounge Kitcen - 18' 8'' x 13' 5'' (5.7m x 4.1m)Open plan lounge kitchen. Kitchen area with a base and wall units and appliances. Wooden flooring. Sofa. Large windows letting in lots of natural light.BathroomBathroom on the lower level with shower over bathMezzanine Bedroom - 18' 8'' x 10' 6'' (5.7m x 3.2m)Large bedroom on the mezzanine upper level.ExternallyAllocated parking spaceCouncil Tax Band: B",592 sq ft / 55 sq m,EPC rating: C*,"['Council tax:\xa0', 'Broadband:\xa0', 'Basic 18Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13680273,2 bedroom house share to rent,https://www.onthemarket.com/details/13680273/,"Gonville Road, Thornton Heath CR7","Gonville Road, Thornton Heath CR7",2 bedroom house share to rent,£900 pcm (£208 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,2 bed,2 bath,,"Property Description & features
1 Lavish double Room available to rent with a separate bathroom
The postcode of the property is CR7 6DA
The rent is £900 for a single person including all bills
The rent is £1200 for 2 people including all bills
One month's rent is required as a deposit
The kitchen is shared with 2 people
Bills are included in the rent
There is internet access
Well Furnished property
Parking is available
Central heating and double-glazing
Near the Tube station, Bus station and Local shops
Ad Ref: 917
",,,"['Council tax:\xa0', 'Band A', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *']"
result-13680253,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680253/,"Cutter Lane, North Greenwich, London SE10","Cutter Lane, North Greenwich, London SE10",1 bedroom in a flat share to rent,"£2,000 pcm (£462 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,No deposit option,Flat share,1 bed,1 bath,,"One Luxury Ensuite room in the shared Property is available to rent in Greenwich The Lavish Ensuite room rent is £ 2000One month's rent is required as a depositThe postcode of the property is SE10 0DYAllow for couple with one childWell furnished with new appliances All Bills are included in this rentThere is free internet accessReady for viewing immediatelyOff-street parking is availableCentral heating and double-glazingNear the Tube station, Bus station, and Local shopsQuite surrounding peaceful AreaAd Ref: 1241",,,['Council tax:\xa0']
result-13680197,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680197/,"Tollgate Drive, Hayes UB4","Tollgate Drive, Hayes UB4",1 bedroom in a flat share to rent,"£1,300 pcm (£300 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,Flat share,1 bed,1 bath,,"Double Ensuite room Available in a house shared
Location UB4 0NP, Hayes
Available for 2 people
The Rent of the Room is £1300
The Deposit will be One month's rent
All bills are included
It's a Well Furnished Property
It's Near to the Bus station and Local Shops
Quite Surroundings
Ad Ref: 887
",,,['Council tax:\xa0']
result-13680187,1 bedroom in a flat share to rent,https://www.onthemarket.com/details/13680187/,"Greenwich, London SE10","Greenwich, London SE10",1 bedroom in a flat share to rent,"£2,000 pcm (£462 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Online viewing,Flat share,1 bed,1 bath,,"One Luxury Ensuite room in the shared Property is available to rent in Greenwich 
The Lavish Ensuite room rent is  £ 2000
One month's rent is required as a deposit
The postcode of the property is  SE10 0DY
Allow for couple with one child 
Well furnished with new appliances 
 All Bills are included in this rent
There is free internet access
Ready for viewing immediately 
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Quite surrounding peaceful Area 
Ad Ref: 1240
",,,['Council tax:\xa0']
result-13680137,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680137/,"Milton Avenue, London E6","Milton Avenue, London E6",1 bedroom in a house share to rent,£800 pcm (£185 pw),Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,1 bath,,"One lavish Master Double Room in the shared property is available to rent
The postcode of the property is E6
The rent of this property is £800 PCM
2 Female is also allowed.
Rent for Twin Females £900
One month's rent is required as a deposit
Bills are included in this rent
There is internet access
Well furnished property
Off-street parking is available
Central heating and double-glazing
Near the Tube station, Bus station, and Local shops
Ad Ref: 803












",,,['Council tax:\xa0']
result-13680120,1 bedroom in a house share to rent,https://www.onthemarket.com/details/13680120/,"Scotts Lane, Bromley BR2","Scotts Lane, Bromley BR2",1 bedroom in a house share to rent,"£1,200 pcm (£277 pw)",Home World Management - London,"
                         142 Bentworth Road
 London
W12 7AH
                        
                      ", 020 3641 9902,https://homeworldmanagement.co.uk/,Added yesterday,House share,1 bed,4 bath,,"
Property Details
The Postcode is BR2 0LH
One Beautiful Ensuite room is available
The rent of the room is 1200 for a couple
One Month's rent is required as a Deposit
It's a shared accommodation
Well-furnished property
Neat, Clean Kitchen and bathroom on a sharing-based
All Bills are included in this Rent
Near Tube Station, Bus Sation, and Local Markets
Central Heating & Double Glazing
Quite Surrounding Area
Ad Ref:1198












",,,['Council tax:\xa0']
