property_id,title,url,address,address_2,property_status,price,agent,agent_address,agent_phone,agent_url,date_added,property_type,beds,baths,property_size,key_features,description,epc_rating,key_info
result-869879,2 bedroom flat for sale,https://www.onthemarket.com/details/869879/,"Darwin Court, Gloucester Avenue, Primrose Hill, London","Darwin Court, Gloucester Avenue, Primrose Hill, London",2 bedroom flat for sale,"£1,300,000",Chestertons - Camden,"
                         99-101 Parkway
Camden, London
NW1 7PP
                        
                      ", 020 8022 7201,https://www.chestertons.co.uk,Added yesterday,Flat,2 bed,2 bath,,"['Tenure: Leasehold', 'Newly refurbished penthouse apartment', 'High specification interiors', 'Generously proportioned accommodation', 'Balcony and private garage', 'Completion due Oct 2023']","A high specification brand new development of a stunning sub penthouse apartment in Darwin Court - a highly regarded block moments from Primrose Hill and Regents Park. This super flat is due for completion in October 2023 and will provide stunning modern interiors and high spec fixtures and fittings set within a generously proportioned and very well thought out internal layout with two bedrooms and two bathrooms. The apartment also comes with the benefit of a recently extended lease, balcony with open views and private garage.Darwin Court is located on Gloucester Avenue offering easy access to the vast array boutique shops, cafes and restaurants in Primrose Village as well as the wide open spaces of Regent's Park and Primrose Hill. Camden Town and Chalk Farm are also close by offering numerous transport links. It has the benefit of on site porter and communal gardens",,"['Tenure:\xa0', 'Leasehold', 'Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683333,4 bedroom mews for sale,https://www.onthemarket.com/details/13683333/,"Bathurst Mews, Hyde Park Estate, Paddington, London, W2","Bathurst Mews, Hyde Park Estate, Paddington, London, W2",4 bedroom mews for sale,"£3,350,000",Lurot Brand - Hyde Park,"
                         37-41 Sussex Place
London
W2 2TH
                        
                      ", 020 8022 7314,http://www.lurotbrand.co.uk,Added today,Mews,4 bed,3 bath,"2,195 sq ft / 204 sq m","['Tenure: Freehold', 'Kitchen', 'Reception/Dining Room', 'Four Bedrooms', 'Three Bathrooms', 'Utility Room', 'Roof Terrace']","Bursting with character and life, you would be hard placed to find more flora and fauna within central London, this mews is the epitome of why these style streets have become such popular places to live. Unique for being larger than most in the street, it boasts every aspect that a mews should have, including a roof terrace and large garage. Moments from Hyde Park this property is firmly placed on the Hyde Park Estate enjoying the cafes, restaurants and boutique shops of Connaught Village, while also being in easy reach of Paddington Station and Lancaster Gate.Bathurst Mews is one of the prettiest mews streets in London and is to be found between Sussex Gardens and Sussex Square and within walking distance of Hyde Park and Kensington Gardens.",EPC rating: C*,"['Tenure:\xa0', 'Freehold', 'Service charge:\xa0', '£0 per annum', 'Council tax:\xa0', 'Band H', 'Broadband:\xa0', 'Super-fast 80Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683282,5 bedroom terraced house for sale,https://www.onthemarket.com/details/13683282/,"Edwardes Square, London, W8","Edwardes Square, London, W8",5 bedroom terraced house for sale,"£5,600,000",Knight Frank - Kensington,"
                         52-56 Kensington Church Street
London
W8 4DB
                        
                      ", 020 8022 7047,https://www.knightfrank.co.uk/contact/kensington-estate-agents?utm_medium=referrer&utm_source=portal&utm_campaign=OTMRedirectionKensington,Added today,Terraced house,5 bed,3 bath,"2,787 sq ft / 259 sq m","['Tenure: Freehold', '5 bedrooms', '5 reception rooms', '3 bathrooms', 'Period', 'Garden', 'Terraced', 'Private Parking']","Situated on the western terrace of the prestigious Edwardes Square, one of London's most sought-after addresses, this house offers comfortable living in classical style. One of the house's main features is that it has complete floor plates at each level and no half-landings, making the layout feel considerably more spacious. The principal bedroom suite on the first floor includes a generous walk-in wardrobe and has 'Romeo and Juliet' balconies beyond the large floor-to-ceiling windows. All of the other bedrooms are comfortable double bedrooms. At raised ground floor level the 23ft reception room has views at the front of the house and over the garden at the rear. There is also a further sitting room at this level that has direct access to the garden. Downstairs is a kitchen/breakfast room with an 'AGA', a separate dining room and a further living room, which both have direct access to the garden.The 43ft garden has been well maintained and is west-facing and has been mainly laid to lawn with a small summerhouse at the rear.  This outdoor space is perfect for al fresco dining, entertaining guests, or simply relaxing in the tranquility of your own green haven. In addition to this, the house benefits from having access to one of the finest garden squares in London which has won numerous awards and has its own grass tennis court during the summer months.The property is very well presented and has retained its period charm, with exquisite architectural details, such as intricate cornices,  and large sash windows. These elements seamlessly blend with modern amenities for a timeless and elegant living experience.Situated in the heart of Kensington, Edwardes Square is surrounded by upscale shopping, dining, and cultural attractions. The convenience of urban living meets the tranquility of a residential oasis. Excellent transport links connect you to the rest of London, making exploring all this vibrant city has to offer easy.",EPC rating: D*,"['Tenure:\xa0', 'Freehold', 'Council tax:\xa0', 'Band H', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683271,4 bedroom end of terrace house for sale,https://www.onthemarket.com/details/13683271/,"Boscombe Road, Tooting","Boscombe Road, Tooting",4 bedroom end of terrace house for sale,"£750,000",Kinleigh Folkard & Hayward - Tooting Sales,"
                         58-60 Tooting High Street
Tooting
SW17 0RN
                        
                      ", 020 8033 2443,http://www.kfh.co.uk,Chain-free,End of terrace house,4 bed,5 bath,"1,302 sq ft / 121 sq m","['Four bedrooms', 'Two bathrooms', 'Separate reception', 'Extended kitchen/living', 'Downstairs WC', 'No onward chain', 'End of terrace', '1413 sq ft']","A wonderfully bright and spacious four bedroom house for sale, conveniently located within reach of both Tooting City Thameslink & Tooting Broadway underground stations. No onward chain.Council Tax Band:  DTenure:  Freehold Council tax is given as a guide only and should always be checked and confirmed by your Solicitor prior to exchange of contracts.",EPC rating: D*,"['Tenure:\xa0', 'Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683136,2 bedroom apartment for sale,https://www.onthemarket.com/details/13683136/,"1 Palace Place, Victoria, London, SW1E","1 Palace Place, Victoria, London, SW1E",2 bedroom apartment for sale,"£1,300,000","Knight Frank - Belgravia, Westminster & Pimlico","
                         47 Lower Belgrave Street
Belgravia
SW1W 0LS
                        
                      ", 020 8022 7027,https://www.knightfrank.co.uk/contact/belgravia-estate-agents?utm_medium=referrer&utm_source=portal&utm_campaign=OTMRedirectionBelgravia&Westminster_Sales,Added today,Apartment,2 bed,2 bath,936 sq ft / 87 sq m,"['Tenure: Leasehold (986 years remaining)', '2 bedrooms', '1 reception room', '2 bathrooms', 'Lift', 'Modern', 'Concierge', 'First Floor', 'Town/City', 'Lateral']","A prime located two bedroom apartment on the fourth floor of this luxurious development with 24 hour concierge and lift. The property is ideally located moments away from London's famous Royal Parks Green Park (0.3 miles) and St James's Park (0.3 miles). The wonderful apartment offers a modern and bright open-plan kitchen and reception area, a Principal double bedroom with en-suite bathroom, a second bedroom/study room, and a shower room. The property has a modern finish throughout and an abundance of storage space including a large walk-in wardrobe. The property benefits from a 24 hour concierge, lift, air conditioning and underfloor heating.  An EWS1 form is expected to be available in the near future once external cladding remedial works have been completed.We have been informed of some fire safety matters that applicants should be aware of when considering this property. Further information will be provided. You should ensure you take independent professional advice and carry out your own investigations before making an offer on this property.Nearby transport links include Victoria Underground Station (Circle, District and Victoria lines) 0.3 miles, London Victoria Station (Gatwick Express, Southeastern and Southern services) 0.3 miles, St. James's Park Underground Station (Circle and District lines) Westminster Underground Station (Circle, District and Jubilee lines) 0.4miles,  Green Park underground station (Jubilee, Piccadilly and Victoria lines) 0.7 miles, Hyde Park Corner underground station (Piccadilly line) 0.8 miles   All times and distances are approximate",EPC rating: C*,"['Tenure:\xa0', 'Leasehold  |  986 yrs left', 'Ground rent:\xa0', '£1,250 per annum  |  review period: unconfirmed', 'Service charge:\xa0', '£8,952.03 per annum', 'Council tax:\xa0', 'Band F', 'Broadband:\xa0', 'Basic 17Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683097,5 bedroom terraced house for sale,https://www.onthemarket.com/details/13683097/,"Essex Villas, Kensington, London, W8","Essex Villas, Kensington, London, W8",5 bedroom terraced house for sale,"£7,850,000",Knight Frank - Kensington,"
                         52-56 Kensington Church Street
London
W8 4DB
                        
                      ", 020 8022 7047,https://www.knightfrank.co.uk/contact/kensington-estate-agents?utm_medium=referrer&utm_source=portal&utm_campaign=OTMRedirectionKensington,Added today,Terraced house,5 bed,5 bath,"2,228 sq ft / 207 sq m","['Tenure: Freehold', '5 bedrooms', '2 reception rooms', '5 bathrooms', 'Modern', 'Garden', 'Parking', 'Single Garage', 'Terraced', 'Town/City', 'Private Parking']","This excellent house is low built and over 30 ft wide and is set in the heart of the highly desirable Phillimore Estate, just a short walk away from both Kensington Gardens and Holland Park. Originally constructed mid-20th Century, the house has been completely refurbished to a very high standard. The resulting accommodation is extremely practical, flows well, has a huge amount of natural light and retains considerable character - a combination rarely found in many London townhouses.Included within the accommodation are five excellent bedrooms (two en suite), a double reception room that overlooks the garden, an excellent kitchen/dining room and a large hallway. The house also has the huge benefit of an off street parking space, a single garage, a generous south-facing garden, and excellent storage throughout including a pantry.Essex Villas is a residential street on the Phillimore Estate, which is generally regarded as being one of the more prestigious locations in Kensington. It is located just north of Kensington High Street which has a wide and varied selection of shops, restaurants and transport connections and is bordered to the west by the green open space of Holland Park.",EPC rating: E*,"['Tenure:\xa0', 'Freehold', 'Council tax:\xa0', 'Band H', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683095,6 bedroom flat for sale,https://www.onthemarket.com/details/13683095/,"Argyll Road, Kensington, London, W8","Argyll Road, Kensington, London, W8",6 bedroom flat for sale,"£11,500,000",Knight Frank - Kensington,"
                         52-56 Kensington Church Street
London
W8 4DB
                        
                      ", 020 8022 7047,https://www.knightfrank.co.uk/contact/kensington-estate-agents?utm_medium=referrer&utm_source=portal&utm_campaign=OTMRedirectionKensington,Added today,Flat,6 bed,5 bath,"3,692 sq ft / 343 sq m","['Tenure: Freehold', '6 bedrooms', '4 reception rooms', '5 bathrooms', 'Parking', 'Upper Floor']","An exceptional family home that has undergone a vast renovation programme to provide the most exquisite of accommodation. Located on one of arguably the most desirable address's on the Phillimore Estate in Kensington this beautiful white stucco fronted house provides the perfect blend of modern contemporary living with stunning period details, elevated ceilings and an abundance of natural light throughout. The house balances wonderful entertaining and living spaces with an open plan family living space over the lower ground floor hosting a vast Boffi kitchen and dining area that extends on to an informal living area and patio garden with an additional spacious media/family room located on the basement level. More formal entertaining can be found on the impressive raised ground floor level that comprises of two adjoining reception rooms boasting hard wood floors and a stunning feature fireplace. The impressive Master bedroom suite encompasses the entirety of the first floor and comprises of a spacious bedroom with walk in dressing room, sumptuous en suite bathroom and a study with glass atrium roof of which is accessible off the first floor landing. A further four bedroom suites are set over the second, third and fourth floors providing excellent family living accommodation, an abundance of storage and lavish en suite bathrooms. In addition the property benefits from private off street parking accessible from the rear garden.Argyll Road is conveniently located close to Notting Hill Gate with its many shops, cafes and restaurants. Kensington High Street and Kensington Gardens are nearby. For excellent transport links, Notting Hill Gate Underground Station (District, Circle and Central lines) and Kensington High Street Underground Station (District and Circle lines) are a short walk away. Motorists will benefit from rapid routes to the West and Heathrow Airport via M4.",EPC rating: D*,"['Tenure:\xa0', 'Freehold', 'Council tax:\xa0', 'Band H', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683032,2 bedroom apartment for sale,https://www.onthemarket.com/details/13683032/,"St Annes Street, London, E14","St Annes Street, London, E14",2 bedroom apartment for sale,"£425,000",Felicity J. Lord - Bow,"
                         644-646 Mile End Road
Bow
E3 4LH
                        
                      ", 020 8022 6594,http://www.fjlord.co.uk,Added today,Apartment,2 bed,1 bath,635 sq ft / 59 sq m,"['Tenure: Leasehold (984 years remaining)', 'Two bedrooms', 'Two bathrooms', '24hr Concierge', 'Open plan living', 'Limehouse Cut Canal', 'Canary Wharf', 'Easy access to The City', 'Modern development']","Guide Price: £425,000 - £450,000This spacious 2 bedroom apartment is located in a modern development with 24-hour concierge. The open plan living area has large windows flooding the flat with light providing stunning views of The City. The kitchen is fully equipped with all appliances, including a dishwasher and oven. The apartment also has a balcony, which is perfect for enjoying and extends your entertaining area.The property is well-looked after and has been recently renovated. The property is located in Limehouse, East London, which is a popular area for young professionals and families. It is close to Canary Wharf and has easy access to the City. There are also plenty of shops, restaurants, and bars within walking distance, including some amazing bespoke cafes and restaurants.",EPC rating: B*,"['Tenure:\xa0', 'Leasehold  |  984 yrs left', 'Council tax:\xa0', 'Band D', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
result-13683027,2 bedroom apartment for sale,https://www.onthemarket.com/details/13683027/,"Eldon Park Road, South Norwood","Eldon Park Road, South Norwood",2 bedroom apartment for sale,"£585,000",haart Estate Agents - Crystal Palace,"
                         55 Westow Hill
Upper Norwood
SE19 1TS
                        
                      ", 020 8022 6749,https://www.haart.co.uk,New build,Apartment,2 bed,2 bath,"1,014 sq ft / 94 sq m","['Tenure: Leasehold (999 years remaining)', 'Two Bedroom Duplex Apartment', 'Reserve Off Plan', 'Choice of Kitchen Units', 'Choice of Kitchen Worktops', 'Choice of Tile Flooring', 'Choice of Carpets', 'Under Floor Heating']","Fantastic opportunity to choose your very own apartment and bespoke it to your design with choices in kitchen units & worktop surfaces. Choose your choice of flooring to the bathroom and en suite* as well as choice in carpets throughout and even choice in paint colour schemes to walls.* Eldon Court is a chic and contemporary new development, comprising of 15 individually designed 1 & 2 bedroom luxury apartments. Interior features include bespoke German designer kitchen with built-in Siemens appliances and Quartz stone worktops, underfloor heating, ceramic tiles to floor and wall in the bathrooms and en suites and carpet flooring.The contemporary exterior, complete with landscaped communal garden, is beautifully complemented by the stylish interiors, many of which include balconies and outside space providing fantastic views across London and the neighbouring parks.Eldon Court is located in Zone 4 and just 13 minutes from London Bridge and a 6 minute walk from Norwood Junction station.* Where en suite's are included.* Taken from Crown website onlyThe opportunity of choices throughout is limited to timeframes of build construction.",,"['Tenure:\xa0', 'Leasehold  |  999 yrs left', 'Service charge:\xa0', '£1,066.16 per annum', 'Council tax:\xa0', 'Band TBC']"
result-13683019,2 bedroom end of terrace house for sale,https://www.onthemarket.com/details/13683019/,"Dittisham Road, Mottingham","Dittisham Road, Mottingham",2 bedroom end of terrace house for sale,"£350,000",Kinleigh Folkard & Hayward - Chislehurst Sales,"
                         49 High Street
Chislehurst
BR7 5AF
                        
                      ", 020 8022 7072,http://www.kfh.co.uk,Chain-free,End of terrace house,2 bed,1 bath,667 sq ft / 62 sq m,"['Chain free', 'Potential to extend- STP', 'Two double bedrooms', 'Large rear garden', 'Upstairs WC', 'Modernisation needed', 'EPC D']","CHAIN FREE Set adjacent to a small green, is this two bedroom end-terrace house with a large rear garden. Offering potential to extend- subject to usual consent.Located approximately 0.6 miles to Elmstead Woods station & nearby to several popular primary schools, this bright house is a wonderful opportunity to extend & improve. Mottingham village & Chislehurst high street are also a walkable distance.",EPC rating: D*,"['Tenure:\xa0', 'Council tax:\xa0', 'Broadband:\xa0', 'Ultra-fast 1000Mbps *', 'Mobile signal:\xa0', 'EE ', 'O2 ', 'Three ', 'Vodafone ']"
