property_id,title,url,address,country,tag,property_status,primary price,secondary price,agent,agent_address,agent_phone,agent_url,date_added,letting_details,property_type,beds,baths,key_features,description,property_size
prop139453520,"
            2 bedroom flat        ",https://www.rightmove.co.uk/properties/139453520#/?channel=RES_LET,"Regents Park Road, Primrose Hill NW1",GB,Commercial,"
Development Microsite





","£3,120 pcm",£720 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Parkheath, Belsize Park","208 Haverstock Hill,
London,
NW3 2AG",020 3871 8562,https://www.rightmove.co.uk/estate-agents/agent/Parkheath/Belsize-Park-72719.html,Added on 04/09/2023,"['Let available date: 29/10/2023', 'Deposit: £3,600A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Part furnished', 'Council Tax: Ask agent']",Flat,×2,×2,"['Characterful 2 bedroom apartment', 'Private roof terrace', 'Top floor in period conversion', 'Wood floor reception', 'Kitchen with all applainces', 'Master with ensuite', '2nd double bedroom', 'Shower room', 'Prime Primrose Hill location', 'Adjacent to Primrose Hill Park and Regents Park']","Bright and characterful 2 bedroom apartment  -  Private roof terrace with skyline views  -  Top floor in period conversion  -  Wood floor reception with feature fireplace  -  Sleek kitchen with all appliances  -  Master bedroom with walk-in wardrobe and en suite bathroom  -  2nd double bedroom  -  Shower room - Perfectly located adjacent to Primrose Hill Park and Regents Park  -  Moment to the villages delightful shops and cafes  -  A short walk to Chalk Farm and  Camden Town undergrounds  -  Council Tax: Camden band FBrochuresRegents Park Road, Primrose Hill NW1",912 sq. ft.
prop138393464,"
            3 bedroom apartment        ",https://www.rightmove.co.uk/properties/138393464#/?channel=RES_LET,"Bolsover Street, London, W1W",GB,Commercial,"
Development Microsite





","£7,800 pcm","£1,800 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.","AC RESIDENTIAL, Mayfair","23 Berkeley Square,
London,
W1J 6HE",020 3907 3703,https://www.rightmove.co.uk/estate-agents/agent/AC-RESIDENTIAL/Mayfair-150674.html,Reduced today,"['Let available date: Now', 'Deposit: £10,800A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: 6 monthsHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished', 'Council Tax: Ask agent']",Apartment,×3,×3,"['Fully Furnished', 'Shops and amenities nearby', 'Air Conditioning', 'Fitted Kitchen', 'En suite', 'Double glazing', 'Concierge', 'Close to public transport', 'Garden']","THE HOMEFully renovated and interior-designed home featuring three bedrooms, two bathrooms, a separate WC and a cloakroom, reflecting an ethos of discreet luxury. The emphasis has been on balancing traditional craft and attention to detail with modern luxury fixtures and fittings.High-quality materials – stone, marble and walnut – and top of the range fittings by Bulthaup, Gaggenau and Poliform have been used. A separate steam shower, especially selected from the Hansgrohe range.Muted colour scheme spacious reception, continues into the kitchen with the introduction of high quality and contemporary materials.The kitchen porcelain and stone have been carefully chosen for their textures and to provide a setting of neutrality and luxury to which residents can add their own personal touch.Brushed stainless steel upholds the understated theme of quality.Walnut flooring is laid in reception rooms and hallways, stone in bathrooms and luxurious New Zealand wool carpet in all the bedrooms.Spacious private wrap around deck, accessible from all rooms.Home is hard wired for Terrestrial TV + Satellite TV with a data and telephone line, ensuring all apartments have connectivity for audio visual and data link requirements.All rooms are hard wired for sound and include an iPod docking system and speakers in the reception rooms.FITZROVIA APARTMENTSCaliza Capri limestone facade, with zinc panels at high level where the façade line sits backHigh specification double height entrance lobby leading directly onto the landscaped courtyard garden24/ 7 Concierge ServicePrivate landscaped courtyard gardenSecure underground car parkingSecure bicycle storageCCTV cameras operate at ground floor level and in the corridorsColour video entry phone and door bell to each apartmentSustainability- The apartments have been awarded an Ecohomes rating of ‘very good- LOCATIONFitzrovia Apartments is located where Fitzrovia meets Regent-s Park, close to Georgian Marylebone and within walking distance of Oxford Street and Bond Street. The academic quarter of Bloomsbury lies a little distance to the east and Covent Garden, with its distinctive blend of culture, entertainment and indulgence, is just around the corner. The development is located at a pivotal point in London, with both the City and West End in easy reach. Road connections for Fitzrovia Apartments are excellent and two tube stations are close at hand. There is easy access to major rail termini with the fast link to Heathrow at Paddington and Eurostar services from St Pancras, as well as services to the Midlands, the North and Scotland. Typical travel times(All journey times from Warren Street/Great Portland Street tube. Data provided from Transport for London and Eurostar websites.King-s Cross /St Pancras International - 6 minutesKnightsbridge - 12 minutesOxford Circus - 2 minutesPaddington - 10 minutesBank - 15 minutesWaterloo - 8 minutesWestminster - 11 minutesHeathrow - 41 minutesParis - 2 hours 15 minutes  AN EXQUISITE LIFEFitzrovia is a London village which offers a different slant on living in the City. It is at the heart of the capital, yet has a community and lifestyle of its own, distinct from that of the West End. The area has a lively street scene, animated by restaurants and bars, with art galleries and a unique and extensive range of shops reinforcing its distinctive character. In short, Fitzrovia is a place to enjoy London life to the full. RESTAURANTSRIBA Café, Villandry, Archipelagio, Cilantro, Gaucho, Ping Pong, Fino, Roka, Mennula, Bam-Bou, Suka at Sanderson, Roux at the Landau, Le Relais De Venise, L-Entrecote, L-Autre Pied, Paul Rothe, St Christopher-s, Place, Busaba, Princess Garden, Ristorante Semplice, La Petite Maison, Thai Square, Hibiscus, Sketch, The Riding House, Ibenca, De Martino BARSCharlotte St. Blues, Shochu Lounge, London Cocktail Club, The Long Bar, Loom Bar, The Social, Annex 3, Artesian, Match Bar, The Phoenix RETAILBulgari, Selfridges, John Lewis, Hamleys, Jamie Aston, Heal-s, The Conran Shop, Diptyque, Daunt Books, Skandium, Aveda, Le Fromagerie, Jane Packer, VV Rouleaux CULTURE & LEARINGFitzrovia Apartments is close to Bloomsbury, home to the central institutions of the University of London and the campus of University College London, one of Britain-s leading universities. Major medical research facilities are based around UCL and University College Hospital. The University of Westminster has sites on Marylebone Road and New Cavendish Street. Given its long association with artists, it isn-t surprising that Fitzrovia is home to a growing number of galleries – Rebecca Hossack, Curwen, October and the Store Street Gallery are amongst well known GALLERIESGallery at 94, Rebecca Hossack Art, Gallery, The David Roberts Art, Foundation,Mummery + Schnelle, Rollo Alexandre Pollazzon, Woolff Gallery, Coningsby Gallery, Lilley Josh Gallery, The Approach, Stuart Shave/Modern Art, Alison Jacques Gallery",
prop139667669,"
            2 bedroom ground floor flat        ",https://www.rightmove.co.uk/properties/139667669#/?channel=RES_LET,Prince Of Wales Terrace,GB,Commercial,"
Development Microsite





","£13,000 pcm","£3,000 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.","Scraye, London","Great Titchfield Street,
London,
W1W 8AX",020 3834 8234,https://www.rightmove.co.uk/estate-agents/agent/Scraye/London-223172.html,Added today,"['Let available date: Now', 'Deposit: Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished or unfurnished, landlord is flexible', 'Council Tax: Ask agent']",Ground Flat,×2,×2,"['Terrace', 'Short lets available', 'Elevator', 'Fibre internet', '24 hour security', 'Great view', 'Modern', 'Open plan kitchen', 'Big windows', 'Air conditioning']","Reference: 9585#Presenting a newly-refurbished flat to rent in Kensington Gardens. The property is on Prince of Wales Terrace and comprises 2 bedrooms, 3 bathrooms and 1 WC.Available now, covering 1,045 sq. ft. in living space and situated on the ground and lower ground floor, this modern, luxurious property is currently furnished and comes with big windows, high ceilings and ample storage. The property also benefits from 2 terraces on each level. Further features and amenities include:- Short Let available (3 months+)- Air conditioning, a rare feature in London- open-plan fully-equipped kitchen with dishwasher- Freezer/Wine fridge- Underfloor heating- Personalised services for tenants- Fibre internet- On-street parking is available via paid permit.This property is currently furnished, but the landlord is flexible regarding furniture. The EPC rating is C and Council tax Band is G. Just a short walk from local amenities, the property is located only moments away from Kensington High Street tube station and near Kensington Gardens and Hyde Park.Whilst Scraye uses reasonable endeavours to ensure that the information displayed in respect of any property is accurate, Scraye is not able to verify all information independently, some of the information is derived from third parties and services and appliances listed have not been tested by us and no guarantee as to their specification or operating ability is given.Any prospective Tenants or other users of this website should:    1. Not rely on this information as a statement or representation of fact;    2. Note that this information does not constitute any part of an offer or contract; and    3. Take their own steps to satisfy themselves by their own inspection (including viewing the property in person), searches, enquiries or otherwise as to the accuracy and completeness of any information contained.Unless otherwise stated, all rental prices are correct at the date of publication and, unless otherwise stated, are quoted inclusive of VAT.","1,035 sq. ft."
prop139667666,"
            2 bedroom flat        ",https://www.rightmove.co.uk/properties/139667666#/?channel=RES_LET,Rainville Road,GB,Commercial,"
Development Microsite





","£3,878 pcm",£895 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Scraye, London","Great Titchfield Street,
London,
W1W 8AX",020 3834 8234,https://www.rightmove.co.uk/estate-agents/agent/Scraye/London-223172.html,Added today,"['Let available date: Now', 'Deposit: Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished or unfurnished, landlord is flexible', 'Council Tax: Ask agent']",Flat,×2,×1,"['24 hour security', 'Short lets available', 'Elevator', 'Refurbished', 'Gated community', 'Open plan kitchen', 'Washer', 'Dryer', 'Freezer', 'Fibre internet']","Reference: 9760#No Deposit available. Presenting a lovely flat to rent in Hammersmith. The property is on Rainville Road and comprises 2 bedrooms and 1 bathroom.Available now, this modern property is currently furnished and comes with big windows and high ceilings. The property also benefits from a Crestron audio-visual system, a digital video door entry system, and pre-wiring for Sky + TV. Further features and amenities include:- Open-plan kitchen with a dishwasher- Freezer- Washer/Dryer- Wine Cooler- Underfloor heating- Secured Parking available- Concierge/24hr security- Gated developmentThis property has a current EPC rating of D and is under the Council tax band of F. Near the local amenities, the property is located immediately adjacent to the River Thames, and only moments away from Hammersmith tube station.Whilst Scraye uses reasonable endeavours to ensure that the information displayed in respect of any property is accurate, Scraye is not able to verify all information independently, some of the information is derived from third parties and services and appliances listed have not been tested by us and no guarantee as to their specification or operating ability is given.Any prospective Tenants or other users of this website should:    1. Not rely on this information as a statement or representation of fact;    2. Note that this information does not constitute any part of an offer or contract; and    3. Take their own steps to satisfy themselves by their own inspection (including viewing the property in person), searches, enquiries or otherwise as to the accuracy and completeness of any information contained.Unless otherwise stated, all rental prices are correct at the date of publication and, unless otherwise stated, are quoted inclusive of VAT.",667 sq. ft.
prop139667426,"
            2 bedroom apartment        ",https://www.rightmove.co.uk/properties/139667426#/?channel=RES_LET,"Heath Road, Weybridge, Surrey, KT13",GB,Commercial,"
Development Microsite





","£1,750 pcm",£404 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, Weybridge Lettings","79 Queens Road,
Weybridge,
KT13 9UQ",01932 506070,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/Weybridge-Lettings-105469.html,Added today,"['Let available date: 15/09/2023', 'Deposit: £1,950A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Ask agent', 'Council Tax: Ask agent']",Apartment,×2,×1,,A newly refurbished 1st floor purpose built apartment with direct access to the balcony from the reception and two double bedrooms. The property has off street parking is situated between Weybridge station and the High Street. Available now.BrochuresWeb DetailsParticulars,
prop139667429,"
            3 bedroom semi-detached house        ",https://www.rightmove.co.uk/properties/139667429#/?channel=RES_LET,"Greenlands Road, Weybridge, Surrey, KT13",GB,Commercial,"
Development Microsite





","£2,000 pcm",£462 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, Weybridge Lettings","79 Queens Road,
Weybridge,
KT13 9UQ",01932 506070,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/Weybridge-Lettings-105469.html,Added today,"['Let available date: 25/09/2023', 'Deposit: £2,300A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Short term', 'Furnish type: Unfurnished', 'Council Tax: Ask agent']",Semi-Detached,×3,×1,,"A semi detached family house with attractive gardens, a summer house or outdoor office with power supply. The property offers 3 bedrooms 2 reception rooms and direct access to the rear garden from the kitchen. Situated close to Weybridge High Street.This property is only available for a 6 months tenancy.BrochuresWeb DetailsParticulars",
prop139667297,"
            Studio flat        ",https://www.rightmove.co.uk/properties/139667297#/?channel=RES_LET,"Collingham Place, South Kensington, London, SW5",GB,Commercial,"
Development Microsite





","£1,907 pcm",£440 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, South Kensington - Lettings","123a Gloucester Road,
London,
SW7 4TE",020 3870 9386,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/South-Kensington---Lettings-76580.html,Added today,"['Let available date: Now', 'Deposit: £0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished', 'Council Tax: Ask agent']",Studio,,×1,,"This self-contained studio flat features a bright studio room with double bed, kitchenette and separate bathroom with shower over bath. This studio is available immediately on a furnished basis.Location:Collingham Place is ideally located close to all the amenities and transport links of Earls Court and Gloucester Road.BrochuresWeb Details",
prop139667186,"
            2 bedroom apartment        ",https://www.rightmove.co.uk/properties/139667186#/?channel=RES_LET,"Princes Square, London, W2",GB,Commercial,"
Development Microsite





","£2,578 pcm",£595 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, Nottinghill - Lettings","178 Westbourne Grove,
London,
W11 2RH",020 3835 4186,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/Nottinghill---Lettings-43062.html,Added today,"['Let available date: 12/10/2023', 'Deposit: £0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Unfurnished', 'Council Tax: Ask agent']",Apartment,×2,×1,,"A lovely bright and recently refurbished two double bedroom flat on the third floor of this period building with a fantastic living room, modern open plan kitchen and pretty bay windows overlooking the garden square. The property is offered unfurnished and viewings are highly recommended.Location:Princes Square is an attractive garden square at this increasingly popular end of Westbourne Grove, with its many boutiques, bars and restaurants, and a very short walk from the shopping and transport amenities of Queensway.BrochuresWeb DetailsParticulars",
prop139667183,"
            1 bedroom apartment        ",https://www.rightmove.co.uk/properties/139667183#/?channel=RES_LET,"Ledbury Road, London, W11",GB,Commercial,"
Development Microsite





","£2,817 pcm",£650 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, Nottinghill - Lettings","178 Westbourne Grove,
London,
W11 2RH",020 3835 4186,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/Nottinghill---Lettings-43062.html,Added today,"['Let available date: 11/09/2023', 'Deposit: £0A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished', 'Council Tax: Ask agent']",Apartment,×1,×1,,"An immaculately presented one bedroom flat on the first floor of this period conversion set in one of the area's most sought after locations. The flat has been refurbished to a very high standard and benefits from beautiful wood flooring throughout, fully fitted open plan kitchen and living room with a private balcony luxurious bathroom and a very spacious bedroom with a fantastic walk-in wardrobe. The flat further benefits from underfloor heating and double-glazed windows throughout. Single professional occupancy only please. Available furnished and viewings are highly recommended.Location:Ledbury Road is a popular street running north from Westbourne Grove with some of London's most fashionable boutiques and delis just a short stroll away.BrochuresWeb DetailsParticulars",
prop137625260,"
            1 bedroom apartment        ",https://www.rightmove.co.uk/properties/137625260#/?channel=RES_LET,"Barter Street, London, WC1A",GB,Commercial,"
Development Microsite





","£2,708 pcm",£625 pwThe amount per month or week you need to pay the landlord.Read more about property rent in our glossary page.,"Winkworth, West End","55 New Oxford Street,
London,
WC1A 1BS",020 3835 3492,https://www.rightmove.co.uk/estate-agents/agent/Winkworth/West-End-75847.html,Reduced today,"['Let available date: 18/09/2023', 'Deposit: £3,125A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read more about deposit in our glossary page.', 'Min. Tenancy: Ask agentHow long the landlord offers to let the property for.Read more about tenancy length in our glossary page.', 'Let type: Long term', 'Furnish type: Furnished', 'Council Tax: Ask agent']",Apartment,×1,×1,,"A newly re-decorated one-bedroom apartment in a purpose-built block. The flat has a large entrance hall with multiple storage cupboards. It has one large double bedroom newly furnished. There is a separate fully fitted kitchen with integrated appliances including a washing machine, oven, hobs, and fridge freezer. The flat also has one large sitting room being newly furnished. Tenants can also apply for a residential street parking permit.Council Tax Band F | £2,708.33pcm | 5 weeks deposit  | 12 months minimumBrochuresWeb Details",
