property_id,title,url,address,tag,property_status,country,price,agent,agent_address,agent_phone,agent_url,date_added,property_type,beds,baths,property_size,tenure,key_features,description
prop139526681,"
            3 bedroom end of terrace house for sale        ",https://www.rightmove.co.uk/properties/139526681#/?channel=RES_BUY,"Bruton Way, Forest Park, Bracknell, Berkshire, RG12",Commercial,"
Development Microsite





",GB,"£350,000","Duncan Yeardley Estate Agents, Bracknell","9 Crown Row, 
Bracknell, 
Berkshire, RG12 0TH",01344 951273,https://www.rightmove.co.uk//estate-agents/agent/Duncan-Yeardley-Estate-Agents/Bracknell-2527.html,Added on 05/09/2023,End of Terrace,×3,×1,,Freehold,"['No Onward Chain', 'Three Bedrooms', 'Downstairs Cloakroom', 'Garage', 'Allocated Parking', 'Cul-de-sac Location']","**NO ONWARD CHAIN **Are you looking for a family home with a garage in the Forest Park area? Look no further as we have this beautiful end of terrace home available!To the ground floor, the property offers a living room and dining room, with patio doors opening onto a garden ready to make the most of the sun and fire up the BBQ. There's also a modern kitchen with appliances and a downstairs toilet, which saves running up and down the stairs!On the first floor, there is a family bathroom and three bedrooms, either for the children or just because you need extra space for all your clothes!Further benefits include allocated parking and a garage.Council Tax Band: CImportant - please read. These particulars do not constitute any part of an offer or contract. All statements in these details are made without liability on the part of Duncan Yeardley or the seller. They should not be relied upon as a statement or representation of fact and, although believed to be correct, are not guaranteed and form no part of an offer or contract. Any intending buyers must satisfy themselves as to their correctness. Please note that all appliances and heating systems are not tested by Duncan Yeardley and therefore no warranties can be given as to their good working order.BrochuresParticulars"
prop139617260,"
            7 bedroom detached house for sale        ",https://www.rightmove.co.uk/properties/139617260#/?channel=RES_BUY,"Cadogan Place, Knightsbridge, London, SW1X",Commercial,"
Development Microsite





",GB,"£29,000,000","Knight Frank, Knightsbridge","52-54 Sloane Avenue,
London,
SW3 3DD",020 3835 5027,https://www.rightmove.co.uk//estate-agents/agent/Knight-Frank/Knightsbridge-65827.html,Added today,Detached,×7,×7,,Freehold,"['7 bedrooms', '3 reception rooms', '7 bathrooms', 'Terrace Garden', 'Study', 'Lift', 'Modern', 'Period', 'Detached', 'Terrace']","A development of a stunning property that sits within one of the world's most exclusive areas. This luxury residence combines cutting-edge contemporary design with classic majesty and enjoys a charming view over private manicured gardens, offering a sense of tranquillity in the centre of London.Through a door set within the distinctive immaculately restored stucco-fronted façade, the stunning bespoke lighting accentuates the classical features, adding to an atmosphere of rich architectural splendour.-Kitchen & Breakfast Room-State-of-the-art Gaggenau appliances punctuate British handcrafted units in a striking fumed eucalyptus veneer and spectacular polished marble work surfaces. Opening onto beautifully designed gardens, the kitchen features a stylish integrated breakfast bar and separate dining table seating eight that complements the property's separate formaldining space.-Entertaining Rooms-A careful combination of classical and contemporary  styling highlights the rooms' breath-taking proportions and luxurious details. Gold and silver leafing gently reflects light, enhancing the rich ebonized oak flooring, handsome marble fireplaces and handcrafted dark wood fittings and furniture.-Primary Bedroom-An exquisite bespoke hand-sewn leather headboard is the centrepiece of a magnificent master suite with a calming neutral colour palette. A marble fireplace, immaculate custom-made furniture and tactile textures throughout offer a rich luxury and contribute to the serene atmosphere, while the walk-through dressing room and polished marbled double sink bathroom add an extra level of refinement.-Bedroom Suites-A guest suite and five en-suite bedrooms maintain the ultra-luxe theme, with the highest quality textiles, handmade furniture and bespoke lighting. The bathrooms feature exquisite marble and stone finishes, mirrored vanity units with subtle integrated lighting and underfloor heating.-Cinema Room-A luxurious media room with a state-of-the-art screen and stepped-level bespoke seating for optimum comfort and viewing pleasure. The leather and high gloss timber-veneered screen surround houses an integrated bar in Sahara Noir marble with bronze fixtures and feature lighting, while the highest-quality fabric-lined wall panelling ensures excellent acoustics. Designed by development managers and award-winning interior designers Mdesign, the residence benefits from the visionary and innovative creativity of artists and craftsmen at the top of their game. Every aspect has been meticulously considered to produce a development that is beyond luxury, set in an unparalleled location and carefully crafted usingthe finest, rarest materials.Generally considered to be one of the finest addresses in the world, Cadogan Place is a unique street of historic style properties including stucco Grade II listed houses. These imposing grand residences exude a rarefied atmosphere of ultra-luxury bolstered by the beauty of the views towards the quiet, leafy and manicured garden square. The property is ideally located for the world class shopping destinations of Sloane Street, Sloane Square and Harrods all of which are all a short distance away.BrochuresMore DetailsCadogan Place - Broc"
prop139592465,"
            6 bedroom terraced house for sale        ",https://www.rightmove.co.uk/properties/139592465#/?channel=RES_BUY,"Green Street, Mayfair, London, W1K",Commercial,"
Development Microsite





",GB,"£25,000,000","Knight Frank, Mayfair","120a Mount Street,
London,
W1K 3NN",020 3835 6305,https://www.rightmove.co.uk//estate-agents/agent/Knight-Frank/Mayfair-65815.html,Added yesterday,Terraced,×6,×7,,Freehold,"['6 bedrooms', '4 reception rooms', '7 bathrooms', 'Period', 'Communal Garden', 'Garden', 'Patio', 'Roof Terrace', 'Terraced', 'Town/City']","38 Green Street is an attractive stone fronted period building spanning 3 windows across with decorative 'Porte Italia' style stone carving as well as a balconette with decorative ironwork. Rarely for a period building of its stature, the house is unlisted but still maintains a wealth of period features both inside and out. Measuring 7,193 square feet, the house offers well-balanced accommodation throughout, all accessed off a grand central staircase as well as having a generous passenger lift to all but the very top floor. Needing little if any changes to the layout, the house could however be vastly improved by a comprehensive programme of refurbishment works.Upon entering the house, there is a grand entrance vestibule with a feature fireplace and intricate cornice detail to instantly impress on arrival. This room leads through to the main entrance hall with the central staircase bisecting the house. The principal family room sits at the rear of the house on the ground floor which offers direct access to the hidden Green Street gardens for the private use of residents only.On the first floor there are two further reception rooms of equal prominence with a large study on street side and an opulent drawing room looking over the gardens below. All reception rooms have a wealth of period carvings and mouldings. A sizeable principal bedroom suite occupies the entire second floor with 4 further bedroom suites found on the 3rd and 4th floors. At the very top of the house is the 'sun room' which leads to a private roof terrace from which to enjoy far reaching roof top views over Mayfair and beyond. The family kitchen and staff accommodation areat lower ground floor level.On the lower ground floor sits the family kitchen which has its own access to the private gardens via a cast iron spiral staircase. The space could be improved upon by replacing the kitchen with a modern equivalent and possibly re-working the room to allow for more light. Domestic staff are well looked after with comfortable rooms as well as a substantial laundry room.The Green Street Gardens are highly sought after but rarely available are properties with access to this hidden Mayfair oasis. Residents can only enjoy use of them if they are able to directly access them which is reserved for a small handful of houses and a couple of boutique apartment blocks. The grounds are well maintained by a team of gardeners for a nominal annual service charge.The house sits at the favoured Park Lane end of Green Street surrounded by other prominent houses, including one of Mayfair's largest private houses directly opposite, on what is an entirely unbroken 'period' street. Historically The south side of Green Street between Dunraven Street and Park Street was redeveloped in the 1910s, under the direction of Hugh Grosvenor, the second Duke of Westminster with most of the properties being rebuilt between 1912 and 1916.BrochuresMore DetailsGreen Street Brochur"
prop139584836,"
            5 bedroom terraced house for sale        ",https://www.rightmove.co.uk/properties/139584836#/?channel=RES_BUY,"Green Street, London, W1K",Commercial,"
Development Microsite





",GB,"£25,000,000","Clifton Property Partners Ltd, London","3 Hill Street,
London,
W1J 5LB",020 7409 5087,https://www.rightmove.co.uk//estate-agents/agent/Clifton-Property-Partners-Ltd/London-221522.html,Added yesterday,Terraced,×5,×8,"7,198 sq. ft.",Freehold,,"An architecturally attractive stone fronted freehold townhouse of 7,198 square feet at the favoured Park Lane end of Green Street. With 5 bedroom Suites and 4 reception rooms the house also benefits from direct access to the hidden Green Street Gardens.

38 Green Street is an attractive stone fronted period building spanning 3 windows across with decorative 'Porte Italia' style stone carving as well as a balconette with decorative ironwork. Rarely for a period building of its stature, the house is unlisted but still maintains a wealth of period features both inside and out. Measuring 7,193 square feet the house offers well balanced accommodation throughout all accessed of a grand central staircase as well as having a generous passenger list to all but the very top floor. Needing little if any changes to the layout, the house could however be vastly improved by a comprehensive program of refurbishment works.

Upon entering the house, there is a grand entrance vestibule with a feature fireplace and intricate cornice detail to instantly impress on arrival. This room leads through to the main entrance hall with the central staircase bisecting the house. The principal family room sits at the rear of the house on the ground floor which offers direct access to the hidden Green Street gardens for the private use of residents only. On the first floor there are two further reception rooms of equal prominence with a large study on street side and an opulent drawing room looking over the gardens below. All reception rooms have a wealth of period carvings and moldings.

A sizeable master bedroom suite occupies the entire second floor with 4 further bedroom suites found on the 3rd and 4th floors. At the very top of the house is the 'sun room' which leads to a private roof terrace from which to enjoy far reaching roof top views over Mayfair and beyond. The family kitchen and staff accommodation are at lower ground floor level.

On the lower ground floor sits the family kitchen which has its own access to the private gardens via a cast iron spiral staircase. The space could be vastly improved upon by replacing the kitchen with a modern equivalent and possibly re-working the room to allow for more light. Domestic help are well looked after with comfortable rooms as well as a substantial laundry room.

The house sits as the favored Park Lane end of Green Street surrounded by other prominent houses, including one of Mayfair's largest private houses directly opposite, on what is an entirely unbroken 'period' street. Historically The south side of Green Street between Dunraven Street and Park Street was redeveloped in the 1910s, under the direction of Hugh Grosvenor, the second Duke of Westminster with most of the properties being rebuilt between 1912 and 1916.

The Green Street Gardens

Highly sought after but rarely available are properties with access to this hidden Mayfair oasis. Residents can only enjoy use of them if they are able to directly access them which is reserved for a small handful of houses and a couple of boutique apartment blocks. The grounds are well maintained by a team of gardeners for a nominal annual service charge.

Accommodation

Grand entrance Hall
Central Staircase
Large Passenger Lift
Family Room
Study/Dining Room
Drawing Room
Master Bedroom Suite
4 further Bedroom Suites
Sun Room with roof terrace
Staff accommodation
Family kitchen
Direct access to the Green Street gardens

Asking Price: £25,000,000
Tenure: Freehold"
prop139464602,"
            11 bedroom detached house for sale        ",https://www.rightmove.co.uk/properties/139464602#/?channel=RES_BUY,Kenwood House,Commercial,"
Development Microsite





",GB,"£20,000,000","Fine & Country, Radlett","72 Watling Street,
Radlett,
WD7 7NP",01923 961915,https://www.rightmove.co.uk//estate-agents/agent/Fine-and-Country/Radlett-138752.html,Added on 04/09/2023,Detached,×11,×9,,Freehold,,"Spanning four floors, including a sprawling 4,250 square foot basement, Kenwood House offers an array of amenities. The basement is a haven of relaxation and entertainment, featuring a lavish pool, state-of-the-art gym, a private movie room, and a rejuvenating steam room. Additionally, a grand nightclub/bar area awaits, promising unforgettable evenings of revelry. A convenient lift effortlessly connects all four floors, ensuring seamless accessibility. Thoughtfully designed, the residence also includes staff accommodation, a triple car garage, and a majestic 300-meter tree-lined driveway. Kenwood House is a testament to the harmonious fusion of opulence and natural beauty. Its expansive floor-to-ceiling windows bathe the interiors in an abundance of natural light, creating an inviting and serene atmosphere throughout. Perfectly suited for hosting grand gatherings, the rear gardens of Kenwood House are a sight to behold. With an outdoor pool and a tennis court, they have played host to countless al fresco dining experiences and large celebrations, including a magnificent wedding for over 200 guests. While the exterior exudes the timeless elegance of the Queen Anne period, the interior seamlessly blends modernity with the utmost comfort and convenience."
prop139391297,"
            11 bedroom detached house for sale        ",https://www.rightmove.co.uk/properties/139391297#/?channel=RES_BUY,"Harper Lane, Radlett, Hertfordshire, WD7",Commercial,"
Development Microsite





",GB,"£20,000,000","Lumley Estates, Radlett","72 Watling Street,
Radlett,
WD7 7NP ",01923 961675,https://www.rightmove.co.uk//estate-agents/agent/Lumley-Estates/Radlett-10122.html,Added on 01/09/2023,Detached,×11,×9,,Freehold,,"Nestled in the idyllic village of Radlett, England, lies the magnificent Kenwood House. This exquisite eleven-bedroom residence boasts an expansive 26-acre estate and a staggering 15,000 square feet of luxurious living space. Its proximity to central London, a mere 16 miles away, makes it a truly exceptional find. Spanning four floors, including a sprawling 4,250 square foot basement, Kenwood House offers an array of amenities. The basement is a haven of relaxation and entertainment, featuring a lavish pool, state-of-the-art gym, a private movie room, and a rejuvenating steam room. Additionally, a grand nightclub/bar area awaits, promising unforgettable evenings of revelry. A convenient lift effortlessly connects all four floors, ensuring seamless accessibility. Thoughtfully designed, the residence also includes staff accommodation, a triple car garage, and a majestic 300-meter tree-lined driveway. Kenwood House is a testament to the harmonious fusion of opulence and natural beauty. Its expansive floor-to-ceiling windows bathe the interiors in an abundance of natural light, creating an inviting and serene atmosphere throughout. Perfectly suited for hosting grand gatherings, the rear gardens of Kenwood House are a sight to behold. With an outdoor pool and a tennis court, they have played host to countless al fresco dining experiences and large celebrations, including a magnificent wedding for over 200 guests. While the exterior exudes the timeless elegance of the Queen Anne period, the interior seamlessly blends modernity with the utmost comfort and convenience.BrochuresParticulars"
prop139202366,"
            Land for sale        ",https://www.rightmove.co.uk/properties/139202366#/?channel=COM_BUY,"Compton Avenue, N6",Commercial,"
Development Microsite





",GB,"£20,000,000","Glentree Estates Ltd, London","698 Finchley Road,
London,
NW11 7NE",020 3907 8623,https://www.rightmove.co.uk//estate-agents/agent/Glentree-Estates-Ltd/London-190037.html,Added today,Land,,,"32,120 sq. ft.",,"['IN-AND-OUT SECURITY GATES AND SWEEP DRIVE WHICH LEADS TO THE GRAND ENTRANCE', 'AN EXTRAORDINARILY LARGE, DOUBLE PRINCIPAL BEDROOM SUITE WITH DUPLICATE DRESSING ROOM AND OFFICE', '5 FURTHER SPACIOUS GUEST/FAMILY BEDROOM SUITES, WITH A LARGE PYJAMA LOUNGE ON THE SECOND FLOOR', 'LARGE FORMAL MAJESTIC DRAWING ROOM/SALON: FAMILY ROOM: STUDY:CHILDREN’S STUDY', 'FORMAL DINING ROOM: HUGE KITCHEN/BREAKFAST ROOM: GRAND ENTRANCE HALL WITH APPROX. 50’+ GALLERIED LANDING', 'HUGE SWIMMING POOL WITH DOUBLE-HEIGHT CEILING WITH WELLNESS SUITE, JACUZZI, EXERCISE STUDIO, GYMNASIUM, CHANGING ROOMS, TREATMENT/MASSAGE ROOM, SALON, STEAM ROOM, SAUNA/POOL BAR WITH RECEPTION AREA', 'WINE CELLAR: GAMES/CLUB ROOM: PRIVATE CINEMA', 'UTILITY/LAUNDRY ROOML STAFF QUARTERS/CHAUFFEUR’S ROOM: ADDITIONAL STOREROOMS', 'CATERING KITCHEN WITH DUMBWAITER:2 SEPARATE STAIRCASES – ONE WHICH IS GALLERIED TO FIVE FLOORS', 'PASSENGER LIFT TO ALL FLOORS: CAR LIFT WITH TURNTABLE FOR 7 OR 8 CARS']","This is a rare freehold site of 0.82acres (0.332hectares), located at the left-hand end of Compton Avenue, Kenwood N6, facing west, with its side elevation directly overlooking Highgate Golf Course with current planning consent to build a brand new super mansion of 32,120sqft (2,984sqm) which is current for just under three years.Compton Avenue is a leafy cul-de-sac, off Hampstead Lane, Kenwood, which links Highgate to Hampstead and to the south, central London. It has become the most cherished, prestigious residential address in this much sought-after residential area and of particular advantage to HNW (High Net Worth) residents is the 24hr security at the top of the road, which in today’s world, is an important amenity.At the lower end of the road is Highgate Golf Course with its rolling hills and a short walk from the top of the road is Kenwood and Hampstead Heath where there are 900 acres of green open spaces and woodland for outdoor recreation.Compton Avenue is nestled between the medieval villages of Hampstead and Highgate which are brimming with eclectic shops, restaurants, and transport facilities.Within a short walking distance is Highgate School (amongst others) which is one of the best facilitated places of learning, for primary and secondary education regardless gender, with its 75acres of recreational space and as such, is probably unique in any metropolis in the world.Plenty of public transport is available on Hampstead Lane and Brent Cross Shopping Centre is within a 10min drive and a private/commercial airport at Luton, is within 35mins by car.Central London is approx. 4 miles to the south of this location, and it could take between 15/30mins to get there, depending on traffic.BrochuresNice Place.pdfBrochure"
prop116235035,"
            6 bedroom house for sale        ",https://www.rightmove.co.uk/properties/116235035#/?channel=RES_BUY,"Bourdon Street, Mayfair, London, W1K",Commercial,"
Development Microsite





",GB,"£18,250,000","Knight Frank, Mayfair","120a Mount Street,
London,
W1K 3NN",020 3835 6305,https://www.rightmove.co.uk//estate-agents/agent/Knight-Frank/Mayfair-65815.html,Reduced on 29/08/2023,House,×6,×6,,Freehold,"['6 bedrooms', '2 - 3 reception rooms', '6 bathrooms', 'Leisure Facilities', 'Gym', 'Mews', 'Parking', 'Patio', 'Single Garage', 'Swimming Pool']","This stunning house was once occupied by famous 1960s fashion photographer, Terence Donovan, and has recently undergone extensive redevelopment, making it one of the most unique houses in Mayfair. The property measures over 5,500 Sqft and is arranged over four floors with a beautiful glass lift within a light filled atrium.Upon entering the house at ground level, one is met with a breathtaking double height living and dining space. The dining area has a ceiling height of 5.5 metres, with a full height marble fire-place feature wall towering over the ground floor reception room area.The ultra-modern, sleek kitchen has integrated Gaggenau appliances and a large marble breakfast bar ideal for more casual dining. For the larger dinner parties there is a fully kitted-out chef's kitchen attached to the garage for private fine dining experiences from the comfort of one's own home.The lower ground floor of this beautiful home offers a private spa experience, with a steam room, 10 metre indoor swimming pool and a gym. The swimming pool has a stunning glass wall looking through to the gym, with skylights looking up into the ground floor living space. Overlooking the ground floor living and dining space there is a sizable drawing room on a Mezzanine.The property also features a large and luxurious principal bedroom with en suite bathroom, as well as an impressive dressing area with extensive wardrobe space. There are a further five bedrooms, with four boasting beautifully lavish en suites. A staff studio room can be found, self-contained on the first floor of the house.Bourdon Street is bound in history as one of Mayfair's most prestigious addresses. Berkeley Square is located at the south side of Bourdon Street where one can find exclusive private members' clubs such as Annabel's, and famous restaurants such as Sexy Fish. Bourdon Street is also just moments from the designer retailers along Old Bond Street. Mount Street is close by, offering an array of designer retailers, restaurants, and The Connaught hotel.BrochuresMore DetailsBourdon Street - Bro"
prop139190390,"
            6 bedroom house for sale        ",https://www.rightmove.co.uk/properties/139190390#/?channel=RES_BUY,"Bourdon Street, Mayfair, W1K",Commercial,"
Development Microsite





",GB,"£18,250,000","Beauchamp Estates Ltd, Mayfair - Resale","24 Curzon Street,
London,
W1J 7TF",020 3910 6582,https://www.rightmove.co.uk//estate-agents/agent/Beauchamp-Estates-Ltd/Mayfair---Resale-79099.html,Added on 29/08/2023,House,×6,×6,"5,788 sq. ft.",Freehold,"['Natural Light', 'Integrated Appliances', 'CCTV', 'Garage', 'High Ceilings', 'Indoor Swimming Pool', 'Spa', 'Gym & Spa Facilities', 'Utility Room', 'Lift Access Throughout']","Ref. LOB0739 - This spectacular five-bedroom home is located in the heart of Mayfair and has been recently renovated with exceptional finishings throughout. Bourdon Street presents expansive contemporary interiors including an impressive open-plan kitchen and dining area overlooked by a large mezzanine drawing-room. The principal bedroom comprises a walk-in wardrobe, ensuite bathroom, and private reception room. There are a further four guest bedrooms, three with ensuite bathrooms, and two staff studio apartments. The home provides state-of-the-art amenities including an indoor swimming pool, gym, steam room, and lift access throughout. Additionally, the home features an integrated garage and a chef's kitchen.BrochuresBourdon Street, W1 Brochure.pdf"
prop135746777,"
            9 bedroom detached house for sale        ",https://www.rightmove.co.uk/properties/135746777#/?channel=RES_BUY,"Frognal, Hampstead Village",Commercial,"
Development Microsite





",GB,"£18,000,000","Goldschmidt & Howland, Hampstead - Sales","15-17 Heath Street
Hampstead
London
NW3 6TR
",020 3910 6243,https://www.rightmove.co.uk//estate-agents/agent/Goldschmidt-and-Howland/Hampstead---Sales-87916.html,Reduced today,Detached,×9,×6,,Freehold,"['6 Bathrooms', '9 Bedrooms', '5 Receptions', 'House', 'Detached', 'Garden', 'Terrace', 'Off Street Parking', 'Garage', 'Freehold']","On the market for the first time since 1931, an opportunity to acquire a discreet family estate that comprises a pair of semi-detached Grade II Listed Georgian houses, once combined to form an exceptional grand period house formerly known as “Frognal Lodge”. Arranged over two floors and surrounded by a beautifully maintained mature landscaped gardens (0.6 of acre) with a large conservatory/orangery leading to lawns surrounded by herbaceous borders, ornamental trees, shrubs and many rare plants hidden behind a high wall, once with a tennis lawn forming the central garden. Nestled within the grounds, a delightful two bedroom house known as “The Folly” accessed via Church Row with a separate garage, store and off street parking for two cars. Located in the heart of Hampstead Village a few minutes’ walk of Hampstead tube station, Hampstead High Street and Hampstead Heath, with convenient access to the Finchley Road with Metropolitan and Jubilee Line stations and walking distance of many popular Hampstead schools.FrognalEntered behind a discreet front door opening to a wonderful reception hall which leads through to an elegant drawing room with french doors to the terrace and gardens as well as an inviting sitting room with feature fireplace. The charming kitchen/ breakfast room leads on to the gardens and also through to an orangery/conservatory with mature vines and spectacular garden views. A utility room with access to two cellars and guest cloakroom. A wide sweeping staircase with wonderful light from the center skylight leads to the first floor with principal bedroom, walk in wardrobe and en-suite shower room. Four additional bedrooms, family bathroom and separate cloakroom.FrognalA private, discreet entrance leads to a small courtyard opening to the entrance hall, spectacular reception room with double aspect garden views, kitchen/breakfast room, study, pantry, guest cloakroom, workshop and large utility room with store. On the first floor there is a principal bedroom with dressing room and en-suite shower room and three further bedrooms, family bathroom, a separate staircase allowing direct access to the garden.Church RowArranged over two floors approached via its own entrance with private front and rear gardens, kitchen/breakfast room and conservatory, reception room, utility room, two bedrooms (one on the ground floor) and two shower rooms.Council Tax band GCouncil Tax band F"
