property_id,title,address,url,primary price,secondary price,agent,agent_url,date_added,letting_details,beds,baths,epc_rating,availability,availability_1,key_features,description
listing_51122898,2 bed flat to rent,"Branch Road, London E14",https://www.zoopla.co.uk/to-rent/details/51122898/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£2,350 pcm",£542 pw,Hurford Salvi Carr - Docklands,https://www.zoopla.co.uk/find-agents/branch/hurford-salvi-carr-docklands-london-13026/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:A band has not yet been confirmed.', 'Council tax band:', 'A band has not yet been confirmed.', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",2 beds,2 baths,EPC rating: B,,,"['Furnished', '798 sq ft / 74.1 sq M', 'Two bedrooms', 'Two bathrooms', 'Furnished', 'Secure parking', 'Concierge', 'Balcony with marina views']","** available end October **Hurford Salvi Carr are pleased to offer this superb fully furnished second floor two double bedroom apartment located in one of the area’s most popular developments.This spacious apartment spans in excess of 790 sq ft*, benefits include wooden floors, walk in shower room and en-suite bathroom. One of the great features of this apartment is the large private balcony which offers unrivalled views across Limehouse Marina towards the Canary Wharf skyline.This property is a perfect fit for professional/corporate sharers or a couple who require that extra space. Further benefits are 24hr concierge and a communal garden and a secure underground parking space.Limehouse DLR station is less than a 5 minute walk, offering convenient connections towards Canary Wharf and the City. A Tesco and Sainsburys is located nearby.A prompt internal viewing is highly recommended. /><br />"
listing_65570022,2 bed flat to rent,"Limehouse Basin, London E14",https://www.zoopla.co.uk/to-rent/details/65570022/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£2,350 pcm",£542 pw,Hurford Salvi Carr - Docklands,https://www.zoopla.co.uk/find-agents/branch/hurford-salvi-carr-docklands-london-13026/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:A band has not yet been confirmed.', 'Council tax band:', 'A band has not yet been confirmed.', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",2 beds,2 baths,EPC rating: D,,,"['Furnished', '839 sq ft / 78 sq M', 'Two bedrooms', 'Two bathrooms', 'Private garage', 'Balcony', 'Water views']","** available 8th November **Hurford Salvi Carr are pleased to offer this well presented two bedroom, two bathroom apartment located in this secure gated area of ever popular Basin Approach. The property is offered furnished and finished to a very high standard and benefits from having views of Limehouse Cut as well as The City SkylineAccommodation consists of a long entrance hallway, two large double bedrooms, an en-suite bathroom, a family bathroom, modern open plan fitted kitchen and spacious reception leading to a private balcony. Further benefits include secure parking and 24/7 security.Located within a 10 min walk to Limehouse DLR this would suit professionals working in The City. Viewings on 13th and 14th September"
listing_62525804,1 bed flat to rent,"Broomfield Street, Poplar E14",https://www.zoopla.co.uk/to-rent/details/62525804/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£1,750 pcm",£404 pw,Hurford Salvi Carr - Docklands,https://www.zoopla.co.uk/find-agents/branch/hurford-salvi-carr-docklands-london-13026/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:A band has not yet been confirmed.', 'Council tax band:', 'A band has not yet been confirmed.', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",1 bed,1 bath,EPC rating: B,,,"['Furnished', '550 sq ft / 51.1 sq M', 'One bedroom', 'Juliet balcony', 'Fully furnished', 'Close to langdon park']","Available from the start of November is this well presented one double bedroom apartment located on the edge of the Limehouse Cut.This particular second floor apartment spans 550 square feet and benefits from having a south facing orientation which allows both the reception and bedroom to beam with light.Features include an open plan modern fitted kitchen complete with alliances, spacious reception room, Juliette balcony and a modern four piece bathroom suiteBroomfield Street is a short walk to Langdon Park DLR station with takes you to Canary Wharf, Stratford International, Royal Greenwich, or Bank. A prompt internal viewing is highly recommended."
listing_65570011,1 bed flat to rent,"Trafalgar Road, London SE10",https://www.zoopla.co.uk/to-rent/details/65570011/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£1,750 pcm",£404 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",1 bed,1 bath,EPC rating: C,,['Available from 12th Sep 2023'],"['Unfurnished', 'No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1821003']","Property Reference: 1821003.1 Bed Flat, Trafalgar Road, SE10We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 12 September 2023, this property benefits from available parking. Property is offered unfurnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,750.00 per month (£403.85 per week)Deposit / Bond is £2,019.23Minimum tenancy is 12 monthsMaximum number of tenants is 2Students welcome to enquireNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: C If calling, please quote reference: 1821003 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million eight hundred and twenty-one thousand and three"
listing_65570012,1 bed flat to rent,"Cotherstone Court, London E2",https://www.zoopla.co.uk/to-rent/details/65570012/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£1,950 pcm",£450 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",1 bed,1 bath,EPC rating: B,,['Available from 1st Oct 2023'],"['Furnished', 'No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1819266']","Property Reference: 1819266.1 Bed Flat, Cotherstone Court, E2We are proud to offer this delightful 1 bedroom, 1 bathroom flat in a great location.Available to move in from 01 October 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,950.00 per month (£450.00 per week)Deposit / Bond is £2,250.00Minimum tenancy is 18 monthsMaximum number of tenants is 24DSS enquiries welcomeStudents welcome to enquirePets considered / by arrangementSmokers consideredFamily FriendlyBills not includedEPC Rating: B If calling, please quote reference: 1819266 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million eight hundred and nineteen thousand two hundred and sixty-six"
listing_65570013,Studio to rent,"Blair Street, London E14",https://www.zoopla.co.uk/to-rent/details/65570013/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£1,800 pcm",£415 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",,1 bath,EPC rating: B,,['Available immediately'],"['Furnished or unfurnished', 'No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1828185']","Property Reference: 1828185.Studio Flat, Blair Street, E14We are proud to offer this delightful 1 bedroom, 1 bathroom studio flat in a great location.Available to move in from 10 September 2023. Property is offered furnished or unfurnished (tenant can decide).Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £1,800.00 per month (£415.38 per week)Deposit / Bond is £2,076.92Minimum tenancy is 12 monthsMaximum number of tenants is 1Students welcome to enquireNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: B If calling, please quote reference: 1828185 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million eight hundred and twenty-eight thousand one hundred and eighty-five"
listing_65570015,2 bed flat to rent,"Hogarth Road, London SW5",https://www.zoopla.co.uk/to-rent/details/65570015/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£3,450 pcm",£796 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",2 beds,1 bath,EPC rating: C,,['Available from 30th Sep 2023'],"['Furnished', 'No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1787675']","Property Reference: 1787675.2 Bed Flat, Hogarth Road, SW5We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location.Available to move in from 30 September 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £3,450.00 per month (£796.15 per week)Deposit / Bond is £3,450.00Minimum tenancy is 12 monthsMaximum number of tenants is 2Students welcome to enquireNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: C If calling, please quote reference: 1787675 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million seven hundred and eighty-seven thousand six hundred and seventy-five"
listing_65570016,4 bed semi-detached house to rent,"Essex Avenue, Slough SL2",https://www.zoopla.co.uk/to-rent/details/65570016/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£2,200 pcm",£508 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",4 beds,2 baths,EPC rating: D,,['Available immediately'],"['Unfurnished', 'No Agent Fees', 'Property Reference Number: 1645279']","Property Reference: 1645279.4 Bed Semi-Detached House, Essex Avenue, SL2We are proud to offer this delightful 4 bedroom, 2 bathroom semi-detached house in a great location.Available to move in from 10 September 2023, this property benefits from available parking, and garden access. Property is offered unfurnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £2,200.00 per month (£507.69 per week)Deposit / Bond is £0.00Minimum tenancy is 12 monthsMaximum number of tenants is 5DSS enquiries welcomeNo StudentsNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: D If calling, please quote reference: 1645279 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million six hundred and forty-five thousand two hundred and seventy-nine"
listing_65570003,4 bed flat to rent,"St. Margarets Road, London SE4",https://www.zoopla.co.uk/to-rent/details/65570003/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£2,650 pcm",£612 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",4 beds,1 bath,EPC rating: E,,['Available from 4th Oct 2023'],"['Furnished', 'No Agent Fees', 'Students Can Enquire', 'Property Reference Number: 1828150']","Property Reference: 1828150.4 Bed Flat, St. Margarets Road, SE4We are proud to offer this delightful 4 bedroom, 1 bathroom flat in a great location.Available to move in from 04 October 2023, this property benefits from available parking, and garden access. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £2,650.00 per month (£611.54 per week)Deposit / Bond is £3,057.69Minimum tenancy is 11 monthsMaximum number of tenants is 4Students welcome to enquireNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: E If calling, please quote reference: 1828150 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million eight hundred and twenty-eight thousand one hundred and fifty"
listing_65570004,2 bed flat to rent,"Union Street, London SE1",https://www.zoopla.co.uk/to-rent/details/65570004/?search_identifier=1edd9680c384b0b674096572c074272a3cae9c94f568fc1a23b3a603cd056806,"£2,500 pcm",£577 pw,OpenRent,https://www.zoopla.co.uk/find-agents/branch/openrent-london-54584/,['Listed on 9th Sep 2023'],"['Deposit:Not available', 'Deposit:', 'Not available', 'Council tax band:Not available', 'Council tax band:', 'Not available', '', 'Letting arrangements:Not available', 'Letting arrangements:', 'Not available']",2 beds,1 bath,EPC rating: D,,['Available from 7th Oct 2023'],"['Furnished', 'No Agent Fees', 'Property Reference Number: 1828154']","Property Reference: 1828154.2 Bed Flat, Union Street, SE1We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location.Available to move in from 07 October 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing!SummaryRent £2,500.00 per month (£576.92 per week)Deposit / Bond is £2,500.00Minimum tenancy is 12 monthsMaximum number of tenants is 2No StudentsNo Pets, sorryNo SmokersFamily FriendlyBills not includedEPC Rating: D If calling, please quote reference: 1828154 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference one million eight hundred and twenty-eight thousand one hundred and fifty-four"
